Pathway identifier,Pathway name,Entities found,Entities total,Entities ratio,Entities pValue,Entities FDR,Reactions found,Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-8876493,InlA-mediated entry of Listeria monocytogenes into host cells,1,14,9.22E-04,0.209618761,0.444844525,2,5,3.55E-04,9606,Homo sapiens,SRC,,R-HSA-8876948;R-HSA-112333
R-HSA-9706019,RHOBTB3 ATPase cycle,1,14,9.22E-04,0.209618761,0.444844525,1,3,2.13E-04,9606,Homo sapiens,CLN3,,R-HSA-9706390
R-HSA-5357786,TNFR1-induced proapoptotic signaling,1,14,9.22E-04,0.209618761,0.444844525,1,3,2.13E-04,9606,Homo sapiens,TNF,,R-HSA-83582
R-HSA-75205,Dissolution of Fibrin Clot,1,14,9.22E-04,0.209618761,0.444844525,6,21,0.001491689,9606,Homo sapiens,PLAUR,,R-HSA-158982;R-HSA-159001;R-HSA-158942;R-HSA-158959;R-HSA-159005;R-HSA-158925
R-HSA-9614399,Regulation of localization of FOXO transcription factors,1,14,9.22E-04,0.209618761,0.444844525,1,5,3.55E-04,9606,Homo sapiens,MKRN3,,R-HSA-9614562
R-HSA-210990,PECAM1 interactions,1,14,9.22E-04,0.209618761,0.444844525,1,7,4.97E-04,9606,Homo sapiens,SRC,,R-HSA-210291
R-HSA-3214841,PKMTs methylate histone lysines,2,51,0.00335902,0.211575141,0.444844525,4,22,0.001562722,9606,Homo sapiens,SETD1A,,R-HSA-5637686;R-HSA-5159245;R-HSA-5244692;R-HSA-4827382
R-HSA-114608,Platelet degranulation ,4,141,0.009286702,0.214024227,0.444844525,2,11,7.81E-04,9606,Homo sapiens,CXCL8;PLEK;STXBP2;SERPING1,,R-HSA-482772;R-HSA-481007
R-HSA-8864260,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,2,52,0.003424883,0.217700478,0.444844525,3,44,0.003125444,9606,Homo sapiens,CDKN1A,,R-HSA-8865280;R-HSA-8865244;R-HSA-8865256
R-HSA-622323,Presynaptic nicotinic acetylcholine receptors,1,15,9.88E-04,0.222794919,0.444844525,2,4,2.84E-04,9606,Homo sapiens,CHRNA6,,R-HSA-629599;R-HSA-622326
R-HSA-166662,Lectin pathway of complement activation,1,15,9.88E-04,0.222794919,0.444844525,2,6,4.26E-04,9606,Homo sapiens,FCN1,,R-HSA-166726;R-HSA-2855125
R-HSA-75035,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,1,15,9.88E-04,0.222794919,0.444844525,1,5,3.55E-04,9606,Homo sapiens,MKRN3,,R-HSA-75016
R-HSA-2172127,DAP12 interactions,2,53,0.003490746,0.223841215,0.444844525,26,33,0.002344083,9606,Homo sapiens,TYROBP;TREM1,,R-HSA-2424484;R-HSA-2424486;R-HSA-2424487;R-HSA-2424480;R-HSA-210309;R-HSA-2424482;R-HSA-2130151;R-HSA-2395439;R-HSA-2272753;R-HSA-2396594;R-HSA-210271;R-HSA-210274;R-HSA-210273;R-HSA-2426566;R-HSA-2426569;R-HSA-2395412;R-HSA-210289;R-HSA-210295;R-HSA-210292;R-HSA-210298;R-HSA-2272795;R-HSA-2172123;R-HSA-2395801;R-HSA-2272668;R-HSA-210300;R-HSA-2172126
R-HSA-76009,Platelet Aggregation (Plug Formation),2,53,0.003490746,0.223841215,0.444844525,19,27,0.001917886,9606,Homo sapiens,SRC,,R-HSA-354149;R-HSA-443910;R-HSA-429415;R-HSA-354087;R-HSA-372705;R-HSA-432096;R-HSA-429441;R-HSA-443905;R-HSA-354124;R-HSA-377644;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-354165;R-HSA-372693;R-HSA-354066;R-HSA-354077;R-HSA-354073;R-HSA-372697
R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),2,53,0.003490746,0.223841215,0.444844525,4,6,4.26E-04,9606,Homo sapiens,CLEC4E;FCGR1A,,R-HSA-1236939;R-HSA-1236955;R-HSA-1236940;R-HSA-1236941
R-HSA-76002,"Platelet activation, signaling and aggregation",7,293,0.019297899,0.224829687,0.444844525,34,117,0.00831084,9606,Homo sapiens,FCER1G;CXCL8;SRC;PLEK;STXBP2;SERPING1,,R-HSA-139842;R-HSA-443910;R-HSA-418176;R-HSA-429441;R-HSA-443905;R-HSA-354124;R-HSA-372693;R-HSA-482772;R-HSA-453200;R-HSA-354066;R-HSA-354077;R-HSA-354073;R-HSA-372697;R-HSA-443418;R-HSA-418200;R-HSA-418662;R-HSA-354149;R-HSA-429415;R-HSA-354087;R-HSA-372705;R-HSA-432096;R-HSA-481007;R-HSA-418158;R-HSA-114600;R-HSA-377644;R-HSA-443439;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-354165;R-HSA-418163;R-HSA-437118;R-HSA-453183;R-HSA-418170
R-HSA-1236975,Antigen processing-Cross presentation,5,195,0.012843312,0.232018668,0.444844525,6,23,0.001633755,9606,Homo sapiens,NCF4;CLEC4E;FCGR1A;S100A9;S100A8,,R-HSA-8863895;R-HSA-1236967;R-HSA-1236939;R-HSA-1236955;R-HSA-1236940;R-HSA-1236941
R-HSA-3656237,Defective EXT2 causes exostoses 2,1,16,0.00105381,0.235752269,0.444844525,4,4,2.84E-04,9606,Homo sapiens,HSPG2,,R-HSA-9036289;R-HSA-3656254;R-HSA-9036290;R-HSA-3656267
R-HSA-3656253,"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",1,16,0.00105381,0.235752269,0.444844525,4,4,2.84E-04,9606,Homo sapiens,HSPG2,,R-HSA-9036283;R-HSA-3656261;R-HSA-9036285;R-HSA-3656257
R-HSA-75892,Platelet Adhesion to exposed collagen,1,16,0.00105381,0.235752269,0.444844525,3,6,4.26E-04,9606,Homo sapiens,FCER1G,,R-HSA-114577;R-HSA-432295;R-HSA-210282
R-HSA-879415,Advanced glycosylation endproduct receptor signaling,1,16,0.00105381,0.235752269,0.444844525,2,4,2.84E-04,9606,Homo sapiens,S100A12;S100P,,R-HSA-879411;R-HSA-879362
R-HSA-9640463,Wax biosynthesis,1,16,0.00105381,0.235752269,0.444844525,1,6,4.26E-04,9606,Homo sapiens,FAR2,,R-HSA-390438
R-HSA-198323,AKT phosphorylates targets in the cytosol,1,16,0.00105381,0.235752269,0.444844525,1,9,6.39E-04,9606,Homo sapiens,CDKN1A,,R-HSA-198613
R-HSA-76005,Response to elevated platelet cytosolic Ca2+,4,148,0.009747744,0.238825856,0.444844525,2,14,9.94E-04,9606,Homo sapiens,CXCL8;PLEK;STXBP2;SERPING1,,R-HSA-482772;R-HSA-481007
R-HSA-975110,TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling,1,17,0.001119673,0.24849443,0.444844525,5,5,3.55E-04,9606,Homo sapiens,IRF7,,R-HSA-975118;R-HSA-933533;R-HSA-933531;R-HSA-975188;R-HSA-975106
R-HSA-181431,Acetylcholine binding and downstream events,1,17,0.001119673,0.24849443,0.444844525,4,6,4.26E-04,9606,Homo sapiens,CHRNA6,,R-HSA-629595;R-HSA-629596;R-HSA-629599;R-HSA-622326
R-HSA-622327,Postsynaptic nicotinic acetylcholine receptors,1,17,0.001119673,0.24849443,0.444844525,2,4,2.84E-04,9606,Homo sapiens,CHRNA6,,R-HSA-629595;R-HSA-629596
R-HSA-2559584,Formation of Senescence-Associated Heterochromatin Foci (SAHF),1,17,0.001119673,0.24849443,0.444844525,1,2,1.42E-04,9606,Homo sapiens,CDKN1A,,R-HSA-4647594
R-HSA-1475029,Reversible hydration of carbon dioxide,1,17,0.001119673,0.24849443,0.444844525,2,8,5.68E-04,9606,Homo sapiens,CA14,,R-HSA-1475025;R-HSA-1475017
R-HSA-5676594,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,1,17,0.001119673,0.24849443,0.444844525,2,12,8.52E-04,9606,Homo sapiens,TNFSF13B,,R-HSA-5676599;R-HSA-5676596
R-HSA-6788467,IL-6-type cytokine receptor ligand interactions,1,17,0.001119673,0.24849443,0.444844525,2,14,9.94E-04,9606,Homo sapiens,OSM,,R-HSA-6783524;R-HSA-6783552
R-HSA-2029481,FCGR activation,3,103,0.006783903,0.250443034,0.444844525,5,6,4.26E-04,9606,Homo sapiens,FCGR2A;SRC;FCGR1A,,R-HSA-2029455;R-HSA-2029452;R-HSA-2029449;R-HSA-1861621;R-HSA-2029459
R-HSA-5684264,MAP3K8 (TPL2)-dependent MAPK1/3 activation,1,18,0.001185536,0.261024963,0.444844525,8,8,5.68E-04,9606,Homo sapiens,MAP3K8,,R-HSA-5684261;R-HSA-451634;R-HSA-5684275;R-HSA-451649;R-HSA-5684273;R-HSA-5684250;R-HSA-5684267;R-HSA-5684248
R-HSA-1433559,Regulation of KIT signaling,1,18,0.001185536,0.261024963,0.444844525,3,8,5.68E-04,9606,Homo sapiens,SRC,,R-HSA-205319;R-HSA-1433506;R-HSA-205244
R-HSA-417957,P2Y receptors,1,18,0.001185536,0.261024963,0.444844525,1,13,9.23E-04,9606,Homo sapiens,P2RY14,,R-HSA-417858
R-HSA-381119,Unfolded Protein Response (UPR),4,155,0.010208786,0.264257121,0.444844525,2,94,0.006677085,9606,Homo sapiens,CXCL8;CCL2,,R-HSA-517731;R-HSA-1791056
R-HSA-9634815,Transcriptional Regulation by NPAS4,2,60,0.003951788,0.267081105,0.444844525,2,47,0.003338542,9606,Homo sapiens,FOS,,R-HSA-9768950;R-HSA-9768945
R-HSA-166658,Complement cascade,4,156,0.010274649,0.267932631,0.444844525,9,72,0.005114363,9606,Homo sapiens,FCN1;C5AR1;SERPING1,,R-HSA-9021306;R-HSA-166753;R-HSA-166726;R-HSA-964811;R-HSA-8852481;R-HSA-375395;R-HSA-166792;R-HSA-8852266;R-HSA-2855125
R-HSA-177929,Signaling by EGFR,2,61,0.004017651,0.273271344,0.444844525,2,49,0.003480608,9606,Homo sapiens,SRC,,R-HSA-177923;R-HSA-177937
R-HSA-418885,DCC mediated attractive signaling,1,19,0.0012514,0.273347369,0.444844525,8,12,8.52E-04,9606,Homo sapiens,SRC,,R-HSA-373716;R-HSA-418868;R-HSA-418850;R-HSA-418865;R-HSA-374701;R-HSA-418874;R-HSA-418858;R-HSA-418856
R-HSA-171007,p38MAPK events,1,19,0.0012514,0.273347369,0.444844525,2,5,3.55E-04,9606,Homo sapiens,SRC,,R-HSA-171011;R-HSA-170991
R-HSA-111447,Activation of BAD and translocation to mitochondria ,1,19,0.0012514,0.273347369,0.444844525,2,5,3.55E-04,9606,Homo sapiens,MKRN3,,R-HSA-139906;R-HSA-139899
R-HSA-2173791,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),1,19,0.0012514,0.273347369,0.444844525,2,6,4.26E-04,9606,Homo sapiens,FPR1,,R-HSA-2134519;R-HSA-2134506
R-HSA-9755779,SARS-CoV-2 targets host intracellular signalling and regulatory pathways,1,19,0.0012514,0.273347369,0.444844525,1,5,3.55E-04,9606,Homo sapiens,MKRN3,,R-HSA-9729500
R-HSA-9735871,SARS-CoV-1 targets host intracellular signalling and regulatory pathways,1,19,0.0012514,0.273347369,0.444844525,1,7,4.97E-04,9606,Homo sapiens,MKRN3,,R-HSA-9727919
R-HSA-5676934,Protein repair,1,19,0.0012514,0.273347369,0.444844525,1,7,4.97E-04,9606,Homo sapiens,MSRB1,,R-HSA-5676917
R-HSA-1295596,Spry regulation of FGF signaling,1,19,0.0012514,0.273347369,0.444844525,1,11,7.81E-04,9606,Homo sapiens,SRC,,R-HSA-1295609
R-HSA-975871,MyD88 cascade initiated on plasma membrane,3,109,0.007179082,0.277438532,0.444844525,11,70,0.004972297,9606,Homo sapiens,S100A12;MAP3K8;S100P;FOS,,R-HSA-450292;R-HSA-5684261;R-HSA-450325;R-HSA-451634;R-HSA-168166;R-HSA-5684275;R-HSA-451649;R-HSA-5684273;R-HSA-5684250;R-HSA-5684267;R-HSA-5684248
R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,3,109,0.007179082,0.277438532,0.444844525,11,71,0.00504333,9606,Homo sapiens,S100A12;MAP3K8;S100P;FOS,,R-HSA-450292;R-HSA-5684261;R-HSA-450325;R-HSA-451634;R-HSA-168166;R-HSA-5684275;R-HSA-451649;R-HSA-5684273;R-HSA-5684250;R-HSA-5684267;R-HSA-5684248
R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,3,109,0.007179082,0.277438532,0.444844525,11,71,0.00504333,9606,Homo sapiens,S100A12;MAP3K8;S100P;FOS,,R-HSA-450292;R-HSA-5684261;R-HSA-450325;R-HSA-451634;R-HSA-168166;R-HSA-5684275;R-HSA-451649;R-HSA-5684273;R-HSA-5684250;R-HSA-5684267;R-HSA-5684248
R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,2,62,0.004083514,0.279459501,0.444844525,6,7,4.97E-04,9606,Homo sapiens,CLN3;CDKN1A,,R-HSA-187552;R-HSA-187520;R-HSA-8848436;R-HSA-187574;R-HSA-187575;R-HSA-8848414
R-HSA-354194,GRB2:SOS provides linkage to MAPK signaling for Integrins ,1,20,0.001317263,0.285465092,0.444844525,2,2,1.42E-04,9606,Homo sapiens,SRC,,R-HSA-354165;R-HSA-354087
R-HSA-936964,Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,1,20,0.001317263,0.285465092,0.444844525,4,9,6.39E-04,9606,Homo sapiens,IRF7,,R-HSA-177671;R-HSA-166245;R-HSA-168933;R-HSA-166271
R-HSA-918233,TRAF3-dependent IRF activation pathway,1,20,0.001317263,0.285465092,0.444844525,4,11,7.81E-04,9606,Homo sapiens,IRF7,,R-HSA-918232;R-HSA-1028821;R-HSA-918229;R-HSA-1028816
R-HSA-399997,Acetylcholine regulates insulin secretion,1,20,0.001317263,0.285465092,0.444844525,1,7,4.97E-04,9606,Homo sapiens,MARCKS,,R-HSA-399978
R-HSA-9754706,Atorvastatin ADME,1,20,0.001317263,0.285465092,0.444844525,1,12,8.52E-04,9606,Homo sapiens,LST1,,R-HSA-9757010
R-HSA-9009391,Extra-nuclear estrogen signaling,3,111,0.007310808,0.286504332,0.444844525,6,39,0.00277028,9606,Homo sapiens,SRC;FOS,,R-HSA-9021609;R-HSA-9021660;R-HSA-9021596;R-HSA-9625479;R-HSA-9625465;R-HSA-9632412
R-HSA-3560783,"Defective B4GALT7 causes EDS, progeroid type",1,21,0.001383126,0.297381517,0.444844525,1,1,7.10E-05,9606,Homo sapiens,HSPG2,,R-HSA-3560804
R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1,1,21,0.001383126,0.297381517,0.444844525,1,1,7.10E-05,9606,Homo sapiens,HSPG2,,R-HSA-4420365
R-HSA-6804114,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,1,21,0.001383126,0.297381517,0.444844525,4,11,7.81E-04,9606,Homo sapiens,MKRN3,,R-HSA-6803892;R-HSA-6803875;R-HSA-6803890;R-HSA-6803871
R-HSA-9671793,Diseases of hemostasis,1,21,0.001383126,0.297381517,0.444844525,3,18,0.001278591,9606,Homo sapiens,SERPING1,,R-HSA-9651456;R-HSA-9651467;R-HSA-9650447
R-HSA-9651496,Defects of contact activation system (CAS) and kallikrein/kinin system (KKS),1,21,0.001383126,0.297381517,0.444844525,3,18,0.001278591,9606,Homo sapiens,SERPING1,,R-HSA-9651456;R-HSA-9651467;R-HSA-9650447
R-HSA-8979227,Triglyceride metabolism,2,66,0.004346967,0.304159286,0.444844525,1,24,0.001704788,9606,Homo sapiens,GK,,R-HSA-75887
R-HSA-9725370,Signaling by ALK fusions and activated point mutants,2,66,0.004346967,0.304159286,0.444844525,1,29,0.002059952,9606,Homo sapiens,BCL2A1,,R-HSA-9725338
R-HSA-9700206,Signaling by ALK in cancer,2,66,0.004346967,0.304159286,0.444844525,1,37,0.002628214,9606,Homo sapiens,BCL2A1,,R-HSA-9725338
R-HSA-372708,p130Cas linkage to MAPK signaling for integrins,1,22,0.001448989,0.309099976,0.444844525,3,3,2.13E-04,9606,Homo sapiens,SRC,,R-HSA-372693;R-HSA-372705;R-HSA-372697
R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,1,22,0.001448989,0.309099976,0.444844525,1,1,7.10E-05,9606,Homo sapiens,HSPG2,,R-HSA-3560802
R-HSA-5205685,PINK1-PRKN Mediated Mitophagy,1,22,0.001448989,0.309099976,0.444844525,2,8,5.68E-04,9606,Homo sapiens,MAP1LC3A,,R-HSA-5205663;R-HSA-5205649
R-HSA-2142770,Synthesis of 15-eicosatetraenoic acid derivatives,1,22,0.001448989,0.309099976,0.444844525,1,4,2.84E-04,9606,Homo sapiens,PTGS2,,R-HSA-2161951
R-HSA-3229121,Glycogen storage diseases,1,22,0.001448989,0.309099976,0.444844525,2,10,7.10E-04,9606,Homo sapiens,EPM2A,,R-HSA-3797226;R-HSA-3791349
R-HSA-975138,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,3,116,0.007640124,0.309259403,0.444844525,11,60,0.004261969,9606,Homo sapiens,S100A12;MAP3K8;S100P;FOS,,R-HSA-450292;R-HSA-5684261;R-HSA-450325;R-HSA-451634;R-HSA-168166;R-HSA-5684275;R-HSA-451649;R-HSA-5684273;R-HSA-5684250;R-HSA-5684267;R-HSA-5684248
R-HSA-8873719,RAB geranylgeranylation,2,68,0.004478693,0.316456543,0.444844525,2,5,3.55E-04,9606,Homo sapiens,RAB31;RAB20,,R-HSA-8870469;R-HSA-8870466
R-HSA-8878159,Transcriptional regulation by RUNX3,3,118,0.00777185,0.318382793,0.444844525,6,47,0.003338542,9606,Homo sapiens,CDKN1A;SRC,,R-HSA-8878130;R-HSA-8878178;R-HSA-8937807;R-HSA-8937792;R-HSA-8878186;R-HSA-8937814
R-HSA-3928664,Ephrin signaling,1,23,0.001514852,0.320623746,0.444844525,10,11,7.81E-04,9606,Homo sapiens,SRC,,R-HSA-3928633;R-HSA-3928639;R-HSA-3928594;R-HSA-3928625;R-HSA-3928641;R-HSA-3928640;R-HSA-3928631;R-HSA-3928615;R-HSA-3928614;R-HSA-3928580
R-HSA-180292,GAB1 signalosome,1,23,0.001514852,0.320623746,0.444844525,1,11,7.81E-04,9606,Homo sapiens,SRC,,R-HSA-177923
R-HSA-418038,Nucleotide-like (purinergic) receptors,1,23,0.001514852,0.320623746,0.444844525,1,15,0.001065492,9606,Homo sapiens,P2RY14,,R-HSA-417858
R-HSA-450294,MAP kinase activation,2,69,0.004544556,0.322587133,0.444844525,10,32,0.00227305,9606,Homo sapiens,MAP3K8;FOS,,R-HSA-450292;R-HSA-5684261;R-HSA-450325;R-HSA-451634;R-HSA-5684275;R-HSA-451649;R-HSA-5684273;R-HSA-5684250;R-HSA-5684267;R-HSA-5684248
R-HSA-69620,Cell Cycle Checkpoints,6,279,0.018375815,0.328586338,0.444844525,11,56,0.003977838,9606,Homo sapiens,SGO1;CLN3;CDKN1A;MKRN3,,R-HSA-141409;R-HSA-6803411;R-HSA-141431;R-HSA-75016;R-HSA-69562;R-HSA-6803388;R-HSA-187934;R-HSA-141422;R-HSA-6803403;R-HSA-141439;R-HSA-6803801
R-HSA-3322077,Glycogen synthesis,1,24,0.001580715,0.331956047,0.444844525,6,22,0.001562722,9606,Homo sapiens,EPM2A,,R-HSA-3781001;R-HSA-3781018;R-HSA-3781021;R-HSA-3781009;R-HSA-3780995;R-HSA-3781011
R-HSA-2243919,Crosslinking of collagen fibrils,1,24,0.001580715,0.331956047,0.444844525,1,13,9.23E-04,9606,Homo sapiens,PCOLCE,,R-HSA-2022141
R-HSA-449836,Other interleukin signaling,1,24,0.001580715,0.331956047,0.444844525,1,17,0.001207558,9606,Homo sapiens,STXBP2,,R-HSA-449117
R-HSA-373755,Semaphorin interactions,2,71,0.004676283,0.33480581,0.444844525,2,41,0.002912346,9606,Homo sapiens,SEMA4A;TYROBP,,R-HSA-416725;R-HSA-416690
R-HSA-389513,CTLA4 inhibitory signaling,1,25,0.001646578,0.34310005,0.444844525,2,5,3.55E-04,9606,Homo sapiens,SRC,,R-HSA-388833;R-HSA-388829
R-HSA-977347,Serine biosynthesis,1,25,0.001646578,0.34310005,0.444844525,1,7,4.97E-04,9606,Homo sapiens,PSPH,,R-HSA-977324
R-HSA-8848584,Wax and plasmalogen biosynthesis,1,25,0.001646578,0.34310005,0.444844525,1,10,7.10E-04,9606,Homo sapiens,FAR2,,R-HSA-390438
R-HSA-1793185,Chondroitin sulfate/dermatan sulfate metabolism,2,73,0.004808009,0.346959775,0.444844525,6,28,0.001988919,9606,Homo sapiens,DSE;HSPG2,,R-HSA-1889981;R-HSA-9638064;R-HSA-1889978;R-HSA-2022052;R-HSA-1878002;R-HSA-1889955
R-HSA-5218859,Regulated Necrosis,2,73,0.004808009,0.346959775,0.444844525,1,48,0.003409575,9606,Homo sapiens,IL1B,,R-HSA-449058
R-HSA-167044,Signalling to RAS,1,26,0.001712442,0.35405887,0.444844525,2,10,7.10E-04,9606,Homo sapiens,SRC,,R-HSA-171011;R-HSA-170991
R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,1,26,0.001712442,0.35405887,0.444844525,3,24,0.001704788,9606,Homo sapiens,SERPING1,,R-HSA-158357;R-HSA-9650473;R-HSA-158399
R-HSA-9694614,Attachment and Entry,1,27,0.001778305,0.364835574,0.444844525,5,11,7.81E-04,9606,Homo sapiens,HSPG2,,R-HSA-9694579;R-HSA-9694661;R-HSA-9699007;R-HSA-9697423;R-HSA-9698988
R-HSA-9034015,Signaling by NTRK3 (TRKC),1,27,0.001778305,0.364835574,0.444844525,4,19,0.001349624,9606,Homo sapiens,SRC,,R-HSA-9603445;R-HSA-9603419;R-HSA-9603420;R-HSA-9603437
R-HSA-8876384,Listeria monocytogenes entry into host cells,1,27,0.001778305,0.364835574,0.444844525,2,13,9.23E-04,9606,Homo sapiens,SRC,,R-HSA-8876948;R-HSA-112333
R-HSA-4420097,VEGFA-VEGFR2 Pathway,3,129,0.008496345,0.368498671,0.444844525,26,79,0.005611593,9606,Homo sapiens,JUP;SRC;NCF4,,R-HSA-5218830;R-HSA-5218828;R-HSA-5218827;R-HSA-5218826;R-HSA-5218822;R-HSA-5218820;R-HSA-5218819;R-HSA-5218841;R-HSA-5218839;R-HSA-5218838;R-HSA-5218645;R-HSA-4420121;R-HSA-5218643;R-HSA-5218640;R-HSA-4420128;R-HSA-5357429;R-HSA-5218855;R-HSA-5357432;R-HSA-5218851;R-HSA-4420206;R-HSA-4420140;R-HSA-5218811;R-HSA-5357477;R-HSA-5218809;R-HSA-5357479;R-HSA-3928647
R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",1,28,0.001844168,0.375433175,0.444844525,7,11,7.81E-04,9606,Homo sapiens,SRC,,R-HSA-9670418;R-HSA-9670417;R-HSA-9670416;R-HSA-9670426;R-HSA-9670414;R-HSA-9670413;R-HSA-9670412
R-HSA-166208,mTORC1-mediated signalling,1,28,0.001844168,0.375433175,0.444844525,3,8,5.68E-04,9606,Homo sapiens,FPR1,,R-HSA-165718;R-HSA-9679044;R-HSA-165692
R-HSA-879518,Transport of organic anions,1,28,0.001844168,0.375433175,0.444844525,3,9,6.39E-04,9606,Homo sapiens,LST1,,R-HSA-9631987;R-HSA-194083;R-HSA-879575
R-HSA-9669938,Signaling by KIT in disease,1,28,0.001844168,0.375433175,0.444844525,7,26,0.001846853,9606,Homo sapiens,SRC,,R-HSA-9670418;R-HSA-9670417;R-HSA-9670416;R-HSA-9670426;R-HSA-9670414;R-HSA-9670413;R-HSA-9670412
R-HSA-389357,CD28 dependent PI3K/Akt signaling,1,28,0.001844168,0.375433175,0.444844525,2,9,6.39E-04,9606,Homo sapiens,MAP3K8,,R-HSA-392530;R-HSA-389756
R-HSA-200425,Carnitine metabolism,1,28,0.001844168,0.375433175,0.444844525,1,9,6.39E-04,9606,Homo sapiens,SLC22A4,,R-HSA-165026
R-HSA-8936459,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,2,78,0.005137325,0.377003866,0.444844525,12,33,0.002344083,9606,Homo sapiens,SETD1A,,R-HSA-8936616;R-HSA-8937016;R-HSA-8937097;R-HSA-8937050;R-HSA-8935740;R-HSA-8937037;R-HSA-8936621;R-HSA-8936481;R-HSA-8936995;R-HSA-8936979;R-HSA-8935731;R-HSA-8936628
R-HSA-448424,Interleukin-17 signaling,2,78,0.005137325,0.377003866,0.444844525,10,35,0.002486149,9606,Homo sapiens,MAP3K8;FOS,,R-HSA-450292;R-HSA-5684261;R-HSA-450325;R-HSA-451634;R-HSA-5684275;R-HSA-451649;R-HSA-5684273;R-HSA-5684250;R-HSA-5684267;R-HSA-5684248
R-HSA-9013106,RHOC GTPase cycle,2,79,0.005203188,0.382946273,0.444844525,2,6,4.26E-04,9606,Homo sapiens,JUP;ARHGEF40,,R-HSA-9013109;R-HSA-9013110
R-HSA-9027604,Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives,1,29,0.001910031,0.385854639,0.444844525,4,20,0.001420656,9606,Homo sapiens,PTGS2,,R-HSA-9027627;R-HSA-9027532;R-HSA-9028255;R-HSA-9027607
R-HSA-444209,Free fatty acid receptors,1,29,0.001910031,0.385854639,0.444844525,1,5,3.55E-04,9606,Homo sapiens,FFAR2,,R-HSA-444171
R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer,1,29,0.001910031,0.385854639,0.444844525,1,18,0.001278591,9606,Homo sapiens,CDKN1A,,R-HSA-2399969
R-HSA-1500931,Cell-Cell communication,3,134,0.00882566,0.391101016,0.444844525,3,60,0.004261969,9606,Homo sapiens,TYROBP;JUP;SRC,,R-HSA-210274;R-HSA-391156;R-HSA-419002
R-HSA-5357956,TNFR1-induced NFkappaB signaling pathway,1,30,0.001975894,0.396102882,0.444844525,5,5,3.55E-04,9606,Homo sapiens,TNF,,R-HSA-5357776;R-HSA-5357904;R-HSA-5357860;R-HSA-5357780;R-HSA-5357757
R-HSA-933542,TRAF6 mediated NF-kB activation,1,30,0.001975894,0.396102882,0.444844525,1,4,2.84E-04,9606,Homo sapiens,S100A12;S100P,,R-HSA-168166
R-HSA-418592,ADP signalling through P2Y purinoceptor 1,1,30,0.001975894,0.396102882,0.444844525,1,7,4.97E-04,9606,Homo sapiens,SRC,,R-HSA-418662
R-HSA-5669034,TNFs bind their physiological receptors,1,30,0.001975894,0.396102882,0.444844525,1,13,9.23E-04,9606,Homo sapiens,TNFSF13B,,R-HSA-5676607
R-HSA-6783589,Interleukin-6 family signaling,1,30,0.001975894,0.396102882,0.444844525,2,34,0.002415116,9606,Homo sapiens,OSM,,R-HSA-6783524;R-HSA-6783552
R-HSA-9658195,Leishmania infection,6,302,0.019890667,0.396813778,0.444844525,6,95,0.006748118,9606,Homo sapiens,ENTPD1;FCGR2A;SRC;IL1B;FCGR1A,,R-HSA-9664275;R-HSA-449058;R-HSA-9664278;R-HSA-9664261;R-HSA-448703;R-HSA-8850846
R-HSA-1971475,A tetrasaccharide linker sequence is required for GAG synthesis,1,31,0.002041757,0.406180772,0.444844525,5,5,3.55E-04,9606,Homo sapiens,HSPG2,,R-HSA-1889981;R-HSA-9638064;R-HSA-1889978;R-HSA-1878002;R-HSA-1889955
R-HSA-997272,Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,1,31,0.002041757,0.406180772,0.444844525,2,3,2.13E-04,9606,Homo sapiens,KCNJ15,,R-HSA-1013020;R-HSA-1013012
R-HSA-1296041,Activation of G protein gated Potassium channels,1,31,0.002041757,0.406180772,0.444844525,2,3,2.13E-04,9606,Homo sapiens,KCNJ15,,R-HSA-1013020;R-HSA-1013012
